Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,V2,Stdout,Stderr
4280,:,1669924797.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/France/pcnf/44_1357.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/France/pcnf/44_1357.cnf,,"bash: line 1: 644326 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/France/pcnf/44_1357.cnf >> /dev/null
120.325_119.912_0.090
"
4325,:,1669924917.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Hungary/pcnf/35_13.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Hungary/pcnf/35_13.cnf,,"0.042_0.025_0.017
"
4326,:,1669924917.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/2_1.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/2_1.cnf,,"0.040_0.026_0.013
"
4327,:,1669924917.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/1_5.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/1_5.cnf,,"0.037_0.025_0.012
"
4328,:,1669924917.000,1.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/5_2.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/5_2.cnf,,"0.037_0.026_0.012
"
4329,:,1669924918.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/4_6.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/4_6.cnf,,"0.033_0.017_0.016
"
4330,:,1669924918.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/4_5.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/4_5.cnf,,"0.041_0.023_0.018
"
4331,:,1669924918.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/1_0.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/1_0.cnf,,"0.037_0.016_0.021
"
4332,:,1669924918.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/3_1.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/3_1.cnf,,"0.033_0.018_0.015
"
4333,:,1669924918.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Iceland/pcnf/8_7.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Iceland/pcnf/8_7.cnf,,"0.031_0.018_0.013
"
4286,:,1669924799.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/103_377.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/103_377.cnf,,"bash: line 1: 644355 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/103_377.cnf >> /dev/null
120.335_119.892_0.115
"
4287,:,1669924803.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1986_1076.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/1986_1076.cnf,,"bash: line 1: 644375 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1986_1076.cnf >> /dev/null
120.357_119.859_0.146
"
4336,:,1669924923.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Italy/pcnf/1340_1947.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Italy/pcnf/1340_1947.cnf,,"0.230_0.198_0.032
"
4337,:,1669924923.000,1.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Italy/pcnf/1896_690.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Italy/pcnf/1896_690.cnf,,"0.263_0.240_0.022
"
4288,:,1669924805.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1365_911.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/1365_911.cnf,,"bash: line 1: 644383 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1365_911.cnf >> /dev/null
120.342_119.885_0.120
"
4289,:,1669924806.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1921_1033.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/1921_1033.cnf,,"bash: line 1: 644389 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1921_1033.cnf >> /dev/null
120.384_119.815_0.142
"
4303,:,1669924847.000,92.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Greece/pcnf/32_38.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Greece/pcnf/32_38.cnf,,"92.265_91.874_0.145
"
4290,:,1669924819.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/511_1183.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/511_1183.cnf,,"bash: line 1: 644422 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/511_1183.cnf >> /dev/null
120.369_119.905_0.098
"
4291,:,1669924820.000,120.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1126_955.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/1126_955.cnf,,"bash: line 1: 644428 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1126_955.cnf >> /dev/null
120.381_119.910_0.094
"
4292,:,1669924823.000,121.000,0,0,137,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1554_383.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Germany/pcnf/1554_383.cnf,,"bash: line 1: 644439 Killed                  d4 -m projMC -i instances/power_transmission_grid/europe/Germany/pcnf/1554_383.cnf >> /dev/null
120.416_119.884_0.122
"
4344,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/0_5.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/0_5.cnf,,"0.040_0.028_0.012
"
4345,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/8_4.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/8_4.cnf,,"0.030_0.014_0.017
"
4346,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/0_12.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/0_12.cnf,,"0.040_0.022_0.018
"
4347,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/2_12.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/2_12.cnf,,"0.034_0.025_0.009
"
4348,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/13_5.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/13_5.cnf,,"0.031_0.019_0.012
"
4349,:,1669924944.000,0.000,0,0,0,0,"time (bash -c 'ulimit -t 120;  d4 -m projMC -i instances/power_transmission_grid/europe/Latvia/pcnf/0_13.cnf >> /dev/null')",5,instances/power_transmission_grid/europe/Latvia/pcnf/0_13.cnf,,"0.034_0.021_0.014
"
